tag,Arab,Asian,Christian,Hispanic,Indian,Jewish,Muslim,a person,black,female,male,white
Arabic,2.321221461598044,-1.1065666703449761,-1.1065666703449761,-1.2371791482634837,-0.9035079029052512,-0.49512933787495345,7.171371656006362,-1.2371791482634837,-1.0594569267279517,-1.0101525445522106,-1.1065666703449761,-0.9583148474999098
Hebrew,-0.8921425711997713,-0.8571428571428571,-0.8571428571428571,-0.9583148474999098,-0.6998542122237651,8.10352342112582,-0.9258200997725514,-0.9583148474999098,-0.8206518066482898,-0.7824607964359517,-0.8571428571428571,-0.7423074889580903
Other,-0.5947617141331808,-0.5714285714285714,-0.5714285714285714,-0.6388765649999399,5.96334109999,0.8557155775489096,-0.6172133998483676,-0.6388765649999399,-0.5471012044321931,-0.521640530957301,-0.5714285714285714,-0.4948716593053935
Spanish,-1.0722219284950194,-1.0301575072754254,-1.0301575072754254,10.135409740718178,-0.841120082507414,-1.1895234282663616,-1.1126972805283735,-1.1517511068997928,-0.9863007227241894,-0.9404008408634047,-1.0301575072754254,-0.8921425711997713
X,-0.12220230939419703,1.1377920101899377,1.1377920101899377,-2.6806972696235136,-0.3200529613791082,-1.9246501431516236,-1.918370077856578,1.2720901395204178,1.0893529135444222,1.0386572495502948,1.1377920101899377,0.9853567850474494
